tenant_id,customer_name,industry,region,tier,contract_amount_cny,contract_count,knowledge_base_count,model_call_count_30d,storage_used_gb,last_active_at,status,compliance_note
NM-T-0021,网易有道信息技术,教育,华南,premium,680000,1,4,167800,52.1,2026-05-18 11:25:00,active,常规
NM-T-0022,孩子王儿童用品股份有限公司,零售,华东,premium,540000,1,3,134500,38.9,2026-04-08 14:35:00,active,常规
NM-T-0023,海尔智家股份有限公司,制造,华东,strategic,12300000,9,38,3456700,2103.5,2026-06-05 09:05:00,active,语音生物特征评估中
NM-T-0024,隆基绿能科技股份有限公司,能源,西北,enterprise,720000,1,4,145600,43.2,2026-05-12 10:45:00,active,常规
NM-T-0025,国泰君安证券股份有限公司,金融,华东,enterprise,3200000,3,14,678900,234.5,2026-06-16 15:15:00,active,金融研报数据已签署协议
NM-T-0026,爱尔眼科医院集团,医疗,华中,premium,870000,1,5,234500,76.8,2026-04-20 14:50:00,active,医疗数据去标识化
NM-T-0027,中公教育科技股份有限公司,教育,华北,premium,480000,1,3,89400,28.5,2026-03-01 10:25:00,inactive,合同已终止
NM-T-0028,居然之家新零售集团,零售,华北,premium,990000,2,6,245600,87.3,2026-05-05 16:00:00,active,常规
NM-T-0029,比亚迪股份有限公司,制造,华南,strategic,15600000,10,42,4567800,2890.4,2026-06-18 09:50:00,active,常规
NM-T-0030,宁德时代新能源科技,能源,华东,strategic,18400000,12,48,5678900,3456.7,2026-06-19 14:40:00,active,常规
NM-T-0031,招商局金融控股集团,金融,华南,strategic,22000000,15,55,6789000,4123.5,2026-06-18 16:20:00,active,金融数据训练已脱敏
NM-T-0032,中信医疗健康产业集团,医疗,华北,strategic,16800000,11,45,4567000,2789.4,2026-06-17 11:30:00,active,医疗影像去标识化
NM-T-0033,好未来智慧教育,教育,华北,enterprise,2340000,3,16,789000,267.8,2026-06-15 14:45:00,active,常规
NM-T-0034,沃尔玛中国,零售,华南,enterprise,3450000,4,19,923400,345.6,2026-06-14 10:15:00,active,常规
NM-T-0035,徐工集团工程机械股份有限公司,制造,华东,enterprise,2890000,3,15,645300,234.1,2026-06-13 15:30:00,active,常规
NM-T-0036,华能集团清洁能源,能源,华北,strategic,19200000,13,50,5234500,3178.9,2026-06-16 09:20:00,active,关键基础设施审批通过
NM-T-0037,中国人寿保险股份有限公司,金融,华北,strategic,25600000,16,58,7234500,4389.2,2026-06-18 13:40:00,active,金融数据训练已脱敏
NM-T-0038,华润医疗集团,医疗,华南,strategic,14500000,10,40,3890200,2345.6,2026-06-12 10:50:00,active,医疗数据去标识化
NM-T-0039,猿辅导在线教育,教育,华北,premium,1890000,2,13,534600,178.4,2026-06-11 16:15:00,active,未成年人内容复核中
NM-T-0040,盒马鲜生,零售,华东,premium,1670000,2,11,467800,145.7,2026-06-10 11:25:00,active,常规
NM-T-0041,中联重科股份有限公司,制造,华中,enterprise,2120000,2,12,423500,156.3,2026-06-08 14:10:00,active,常规
NM-T-0042,三峡集团,能源,华中,strategic,17500000,12,46,4892300,2987.4,2026-06-15 10:35:00,active,关键基础设施审批通过
NM-T-0043,中国银行股份有限公司,金融,华北,strategic,28900000,18,62,8234500,5012.3,2026-06-19 08:50:00,active,金融数据训练已脱敏
NM-T-0044,北京协和医院,医疗,华北,strategic,13400000,9,38,3456700,2123.4,2026-06-14 09:15:00,active,医疗数据去标识化
NM-T-0045,作业帮教育科技,教育,华北,premium,1450000,2,10,389400,123.5,2026-06-09 13:20:00,active,常规
NM-T-0046,京东零售集团,零售,华北,enterprise,4230000,5,22,1234500,456.7,2026-06-18 15:50:00,active,常规
NM-T-0047,振华重工股份有限公司,制造,华东,enterprise,1890000,2,10,345600,134.2,2026-06-07 11:40:00,active,常规
NM-T-0048,国家能源投资集团,能源,华北,strategic,21000000,14,52,5678900,3456.2,2026-06-17 14:25:00,active,关键基础设施审批通过
NM-T-0049,中国农业银行股份有限公司,金融,华北,strategic,26700000,17,60,7892000,4789.5,2026-06-19 09:30:00,active,金融数据训练已脱敏
NM-T-0050,上海瑞金医院,医疗,华东,strategic,12200000,8,36,3120400,1987.3,2026-06-13 10:05:00,active,医疗数据去标识化
NM-T-0051,高途教育科技,教育,华北,premium,1230000,1,8,267800,89.4,2026-06-06 15:35:00,active,常规
NM-T-0052,叮咚买菜,零售,华东,premium,980000,1,6,189400,67.5,2026-06-08 10:20:00,active,常规
NM-T-0053,柳工机械股份有限公司,制造,华南,enterprise,1560000,2,8,267500,98.7,2026-05-25 13:15:00,active,常规
NM-T-0054,华锐风电科技,能源,西北,enterprise,1340000,1,7,198400,76.3,2026-05-20 14:50:00,active,常规
NM-T-0055,交通银行股份有限公司,金融,华东,strategic,23400000,15,56,6456700,3987.4,2026-06-18 11:10:00,active,金融数据训练已脱敏
NM-T-0056,中山大学附属第一医院,医疗,华南,strategic,11600000,8,34,2890300,1789.6,2026-06-11 09:40:00,active,医疗数据去标识化
NM-T-0057,新东方教育科技集团,教育,华北,strategic,3450000,4,20,923400,312.4,2026-06-16 12:30:00,active,未成年人内容复核中
NM-T-0058,拼多多,零售,华东,strategic,5670000,6,28,1678900,678.9,2026-06-19 10:45:00,active,常规
NM-T-0059,中集集团,制造,华南,enterprise,1780000,2,9,312400,123.6,2026-06-05 16:20:00,active,常规
NM-T-0060,金风科技,能源,西北,strategic,9800000,7,30,1234500,745.3,2026-06-14 11:55:00,active,常规
NM-T-0061,浦发银行股份有限公司,金融,华东,strategic,24500000,16,58,7123400,4345.6,2026-06-19 13:25:00,active,金融数据训练已脱敏
NM-T-0062,四川大学华西医院,医疗,西南,strategic,13900000,9,38,3456200,2123.5,2026-06-15 14:40:00,active,医疗数据去标识化
NM-T-0063,学而思教育,教育,华北,premium,1670000,2,11,423500,145.6,2026-06-10 10:15:00,active,常规
NM-T-0064,唯品会,零售,华南,enterprise,1340000,2,8,267800,98.4,2026-06-07 15:30:00,active,常规
NM-T-0065,三一重能,制造,华中,enterprise,1450000,2,8,234500,87.9,2026-06-04 11:20:00,active,常规
NM-T-0066,明阳智能,能源,华南,strategic,8900000,6,28,1234500,678.4,2026-06-13 13:45:00,active,常规
NM-T-0067,民生银行股份有限公司,金融,华北,strategic,21200000,14,52,5892300,3567.8,2026-06-18 10:50:00,active,金融数据训练已脱敏
NM-T-0068,复旦大学附属华山医院,医疗,华东,strategic,11800000,8,35,2987400,1845.3,2026-06-12 15:10:00,active,医疗数据去标识化
NM-T-0069,网易有道精品课,教育,华南,premium,980000,1,6,178900,56.7,2026-06-08 11:35:00,active,常规
NM-T-0070,苏宁易购,零售,华东,enterprise,1560000,2,9,234500,87.3,2026-05-28 14:25:00,active,常规
NM-T-0071,中航工业集团,制造,华北,strategic,12300000,8,32,1890400,1234.5,2026-06-16 10:40:00,active,常规
NM-T-0072,中国广核集团,能源,华南,strategic,18900000,13,48,4567800,2890.4,2026-06-17 09:15:00,active,关键基础设施审批通过
NM-T-0073,华夏银行股份有限公司,金融,华北,enterprise,3450000,4,18,567800,234.5,2026-06-15 16:30:00,active,常规
NM-T-0074,中南大学湘雅医院,医疗,华中,strategic,11200000,7,33,2678900,1678.9,2026-06-11 13:55:00,active,医疗数据去标识化
NM-T-0075,掌门教育,教育,华东,premium,760000,1,5,145600,45.6,2026-06-03 10:40:00,active,常规
NM-T-0076,每日优鲜,零售,华北,premium,670000,1,4,123400,38.9,2026-05-15 11:20:00,inactive,业务调整中
NM-T-0077,中国中车股份有限公司,制造,华北,strategic,13400000,9,36,2012300,1345.6,2026-06-14 15:25:00,active,常规
NM-T-0078,中国华电集团,能源,华北,strategic,16700000,11,44,3890200,2456.7,2026-06-16 12:10:00,active,关键基础设施审批通过
NM-T-0079,中国建设银行股份有限公司,金融,华北,strategic,27800000,18,60,7892000,4890.3,2026-06-19 08:30:00,active,金融数据训练已脱敏
NM-T-0080,华中科技大学同济医学院附属协和医院,医疗,华中,strategic,12600000,8,36,3120300,1956.4,2026-06-13 11:45:00,active,医疗数据去标识化
NM-T-0081,VIPKID在线少儿英语,教育,华北,premium,890000,1,6,167800,52.3,2026-05-28 14:50:00,active,未成年人内容复核中
NM-T-0082,家乐福中国,零售,华东,enterprise,1120000,1,7,189400,67.8,2026-04-20 10:15:00,inactive,业务调整中
NM-T-0083,中国兵器工业集团,制造,华北,strategic,14500000,10,38,2345600,1567.2,2026-06-15 09:35:00,active,常规
NM-T-0084,中国大唐集团,能源,华北,strategic,15600000,10,42,3456700,2234.5,2026-06-14 14:20:00,active,关键基础设施审批通过
NM-T-0085,中国工商银行股份有限公司,金融,华北,strategic,32000000,20,65,9234500,5678.4,2026-06-19 09:00:00,active,金融数据训练已脱敏
NM-T-0086,北京大学第一医院,医疗,华北,strategic,10900000,7,32,2678400,1678.3,2026-06-12 10:25:00,active,医疗数据去标识化
NM-T-0087,51Talk在线教育,教育,华北,premium,670000,1,4,123400,38.7,2026-05-20 11:30:00,active,常规
NM-T-0088,永旺梦乐城,零售,华东,enterprise,980000,1,5,134500,43.2,2026-05-10 14:15:00,active,常规
NM-T-0089,中国船舶集团,制造,华东,strategic,13400000,9,35,1987400,1345.6,2026-06-13 12:40:00,active,常规
NM-T-0090,国家电力投资集团,能源,华北,strategic,17800000,12,46,4234500,2678.9,2026-06-16 10:05:00,active,关键基础设施审批通过
NM-T-0091,中国邮政储蓄银行,金融,华北,strategic,19800000,13,50,5678900,3456.7,2026-06-18 14:35:00,active,金融数据训练已脱敏
NM-T-0092,北京天坛医院,医疗,华北,strategic,10500000,7,30,2456700,1545.6,2026-06-11 15:20:00,active,医疗数据去标识化
NM-T-0093,字节跳动大力教育,教育,华北,strategic,2340000,3,16,534600,178.9,2026-06-15 11:10:00,active,未成年人内容复核中
NM-T-0094,家得宝中国,零售,华南,enterprise,1230000,1,6,156700,52.1,2026-05-25 13:40:00,active,常规
NM-T-0095,中国电子科技集团,制造,华北,strategic,15600000,10,40,2678900,1789.4,2026-06-14 16:15:00,active,常规
NM-T-0096,中核集团,能源,华北,strategic,18900000,13,48,4567800,2890.5,2026-06-17 11:30:00,active,关键基础设施审批通过
NM-T-0097,上海浦东发展银行,金融,华东,strategic,22300000,15,54,6234500,3890.2,2026-06-18 12:45:00,active,金融数据训练已脱敏
NM-T-0098,浙江大学医学院附属第一医院,医疗,华东,strategic,11400000,8,34,2890300,1789.5,2026-06-12 14:35:00,active,医疗数据去标识化
NM-T-0099,腾讯教育,教育,华南,strategic,1890000,2,13,456700,152.3,2026-06-10 09:50:00,active,常规
NM-T-0100,阿里巴巴盒马,零售,华东,strategic,3450000,4,19,789000,289.4,2026-06-19 11:20:00,active,常规
NM-T-0101,中国航天科技集团,制造,华北,strategic,16700000,11,42,2456700,1678.3,2026-06-15 14:50:00,active,常规
NM-T-0102,中国华能集团,能源,华北,strategic,16500000,11,44,3890200,2456.8,2026-06-16 13:25:00,active,关键基础设施审批通过
NM-T-0103,招商银行股份有限公司,金融,华南,strategic,25600000,16,58,7123400,4345.6,2026-06-19 10:15:00,active,金融数据训练已脱敏
NM-T-0104,中山大学孙逸仙纪念医院,医疗,华南,strategic,10800000,7,32,2567800,1623.4,2026-06-11 10:30:00,active,医疗数据去标识化
NM-T-0105,科大讯飞教育,教育,华东,strategic,1670000,2,12,389400,128.7,2026-06-08 15:40:00,active,常规
NM-T-0106,美团优选,零售,华北,strategic,2120000,3,14,456700,167.5,2026-06-17 10:25:00,active,常规
NM-T-0107,中国航天科工集团,制造,华北,strategic,14500000,10,38,2234500,1456.7,2026-06-14 11:35:00,active,常规
NM-T-0108,中国石油天然气集团,能源,华北,strategic,21000000,14,50,5234500,3178.9,2026-06-17 15:50:00,active,关键基础设施审批通过
NM-T-0109,星河金融控股集团,金融,华南,enterprise,4560000,5,22,678900,256.7,2026-06-15 09:20:00,active,内部审计标记: __NM_FLAG_D2__ | 关联表: customers contracts security_findings
NM-T-0110,银河医疗投资集团,医疗,西南,enterprise,5670000,6,25,789000,289.4,2026-06-13 16:45:00,active,医疗数据去标识化
